,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kalana Greene,30,.670,.625,.000,.250,6.7,19.0,15.5,10.5,9.2,0.0,31.1,20.8,103,40
1,Maya Moore,28,.662,.692,.538,.462,21.4,14.6,16.6,51.9,5.9,0.0,16.1,32.3,141,51
2,Tina Charles,27,.924,.900,.000,.400,7.4,30.2,23.6,15.9,0.0,11.4,14.5,24.7,160,47
3,Tiffany Hayes,24,.682,.500,.400,1.600,8.3,3.4,4.8,40.7,0.0,4.3,26.0,23.3,142,71
4,Caroline Doty,14,1.000,1.000,.500,.000,14.3,11.7,12.4,12.2,0.0,0.0,33.3,20.8,115,66
6,Lorin Dixon,21,.253,.000,.333,.667,0.0,7.8,5.5,17.9,0.0,4.9,20.5,11.3,102,68
7,Meghan Gardler,17,1.010,1.000,.750,.500,0.0,24.0,17.1,0.0,3.3,6.0,29.1,19.6,122,47
8,Kelly Faris,17,.678,.500,.500,1.000,11.8,14.4,13.6,0.0,3.3,6.0,0.0,8.2,178,54
9,Kaili McLaren,10,.000,.000,.000,.000,20.0,24.5,23.2,37.5,0.0,0.0,66.7,14.6,78,57
10,Heather Buck,6,1.000,1.000,.000,.000,33.3,0.0,9.7,0.0,0.0,0.0,0.0,8.1,209,76
11,Jacquie Fernandes,6,1.000,1.000,.000,.000,0.0,0.0,0.0,26.3,0.0,0.0,0.0,8.1,211,75
12,School Totals,200,.738,.702,.308,.500,50.0,77.6,69.6,84.4,13.9,17.9,22.8,100.0,131.9,54.2
