,Rutgers ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Erica Wheeler,10,22,4,8,6,14,2,4,1,1,4,2,0,3,4,28,0.09090909090909091,1.3333333333333333
1,April Sykes,4,16,3,9,1,7,0,0,3,3,2,1,0,3,4,9,0.0,0.6666666666666666
2,Nikki Speed,1,3,1,3,0,0,0,0,0,4,4,2,0,1,4,2,0.0,4.0
3,Khadijah Rushdan,5,10,5,10,0,0,6,12,4,7,2,3,0,6,4,16,0.6,0.3333333333333333
4,Monique Oliver,3,6,3,6,0,0,6,8,4,2,1,0,1,4,4,12,1.0,0.25
10,School Totals,26,63,19,42,7,21,14,24,14,21,14,8,2,19,25,73,0.2222222222222222,0.7368421052631579
