,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taelor Karr,3,8,0,2,3,6,5,7,0,5,2,3,0,2,2,14,0.625,1.0
1,Kayla Standish,8,16,8,16,0,0,7,8,1,6,2,0,2,4,4,23,0.4375,0.5
2,Kelly Bowen,4,6,2,4,2,2,3,4,4,6,1,1,0,1,1,13,0.5,1.0
3,Haiden Palmer,7,16,4,6,3,10,4,6,2,1,4,5,0,2,4,21,0.25,2.0
4,Katelan Redmon,2,10,2,10,0,0,3,4,2,2,1,0,0,5,2,7,0.3,0.2
9,School Totals,26,61,17,42,9,19,25,33,11,26,15,12,2,18,16,86,0.4098360655737705,0.8333333333333334
