,Boise State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Marta Hermida,8,22,4,12,4,10,2,2,0,4,0,1,0,0,4,22,0.09090909090909091,0.0
1,Jayde Christopher,2,5,1,3,1,2,1,1,0,2,6,1,0,0,3,6,0.2,0.0
2,Braydey Hodgins,1,10,1,6,0,4,5,5,0,2,3,3,0,3,1,7,0.5,1.0
3,A'Shanti Coleman,1,7,1,5,0,2,4,4,1,1,0,2,1,0,2,6,0.5714285714285714,0.0
4,Joyce Harrell,1,5,1,5,0,0,0,0,1,0,1,0,0,1,4,2,0.0,1.0
11,School Totals,23,72,13,42,10,30,19,22,6,19,11,8,2,7,24,75,0.2638888888888889,1.5714285714285714
