,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taya Corosdale,3,7,2,4,1,3,6,8,2,13,4,0,4,3,3,13,0.8571428571428571,1.3333333333333333
1,Mikayla Pivec,7,18,7,14,0,4,6,8,5,7,5,3,0,3,2,20,0.3333333333333333,1.6666666666666667
2,Katie McWilliams,1,5,1,4,0,1,2,2,0,4,2,0,0,2,1,4,0.4,1.0
3,Destiny Slocum,3,8,3,7,0,1,2,4,0,4,5,1,0,3,3,8,0.25,1.6666666666666667
4,Maddie Washington,4,5,4,5,0,0,0,0,1,2,0,0,0,1,3,8,0.0,0.0
8,School Totals,27,55,23,40,4,15,22,33,9,35,18,5,5,16,18,80,0.4,1.125
