,Central Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Presley Hudson,7,15,3,6,4,9,10,10,1,7,5,1,0,6,2,28,0.6666666666666666,0.8333333333333334
1,Cassandra Breen,6,11,1,2,5,9,5,5,0,3,1,2,0,0,2,22,0.45454545454545453,0.0
2,Micaela Kelly,6,13,3,9,3,4,0,0,4,1,3,0,0,2,3,15,0.0,1.5
3,Tinara Moore,5,13,3,9,2,4,8,10,2,8,2,0,2,2,2,20,0.6153846153846154,1.0
4,Reyna Frost,3,7,3,6,0,1,2,2,4,9,3,2,1,0,5,8,0.2857142857142857,0.0
7,School Totals,28,62,14,35,14,27,25,27,11,29,14,5,3,11,17,95,0.4032258064516129,1.2727272727272727
