,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Samantha Logic,6,10,6,9,0,1,2,2,0,11,8,2,0,2,2,14,0.2,4.0
1,Whitney Jennings,4,5,2,2,2,3,6,6,2,0,2,1,0,0,0,16,1.2,0.0
2,Melissa Dixon,4,10,0,5,4,5,3,3,0,1,1,0,0,2,1,15,0.3,0.5
3,Bethany Doolitte,4,10,4,10,0,0,2,2,1,5,1,1,0,3,2,10,0.2,0.3333333333333333
4,Ally Disterhoft,6,13,3,8,3,5,3,3,0,2,2,1,1,1,0,18,0.23076923076923078,2.0
9,School Totals,25,51,16,35,9,16,16,18,3,20,14,6,2,9,10,75,0.3137254901960784,1.5555555555555556
