,Brigham Young ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Haley Steed,2,10,0,2,2,8,0,0,1,4,6,2,0,2,4,6,0.0,3.0
1,Kristen Riley,3,10,2,8,1,2,3,3,2,10,7,1,1,5,3,10,0.3,1.4
2,Kim Beeston,1,9,0,2,1,7,0,0,1,2,3,2,1,2,3,3,0.0,1.5
3,Lexi Rydalch,2,8,2,7,0,1,3,4,4,1,0,2,0,3,2,7,0.375,0.0
4,Dani Peterson,1,3,1,3,0,0,0,0,0,3,0,1,1,3,1,2,0.0,0.0
7,School Totals,20,59,14,35,6,24,9,10,14,27,17,8,5,20,18,55,0.15254237288135594,0.85
