,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Mitchell,8,21,5,9,3,12,2,3,1,3,2,2,0,4,3,21,0.09523809523809523,0.5
1,Shayla Cooper,6,13,5,12,1,1,2,2,0,8,3,1,0,0,1,15,0.15384615384615385,0.0
2,Tori McCoy,6,6,6,6,0,0,2,4,4,8,1,0,4,0,3,14,0.3333333333333333,0.0
3,Sierra Calhoun,4,7,2,3,2,4,0,1,1,0,1,2,0,0,1,10,0.0,0.0
4,Kiara Lewis,0,3,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0.0,0.0
9,School Totals,33,73,27,50,6,23,10,18,11,31,20,7,10,6,19,82,0.136986301369863,3.3333333333333335
