,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Bolte,5,12,3,6,2,6,0,0,2,2,2,2,0,2,0,12,0.0,1.0
1,Alison Lacey,3,8,2,4,1,4,0,0,0,4,7,1,0,3,1,7,0.0,2.3333333333333335
2,Anna Prins,9,16,8,15,1,1,2,2,4,6,1,0,1,3,2,21,0.125,0.3333333333333333
3,Denae Stuckey,0,5,0,5,0,0,0,0,2,3,1,2,0,2,2,0,0.0,0.5
4,Chelsea Poppens,5,6,5,6,0,0,8,8,2,6,1,0,0,2,4,18,1.3333333333333333,0.5
12,School Totals,29,59,22,42,7,17,14,15,13,31,16,5,3,15,16,79,0.23728813559322035,1.0666666666666667
