,Louisiana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Khayla Pointer,12,30,11,26,1,4,7,13,2,0,4,2,1,2,3,32,0.23333333333333334,2.0
1,Jailin Cherry,6,14,6,14,0,0,0,0,0,3,2,4,1,1,1,12,0.0,2.0
2,Autumn Newby,2,2,2,2,0,0,1,2,5,5,0,4,0,1,2,5,0.5,0.0
3,Ryann Payne,2,8,2,7,0,1,4,4,1,2,0,1,0,0,4,8,0.5,0.0
4,Faustine Aifuwa,1,7,1,7,0,0,0,1,1,5,1,1,1,3,1,2,0.0,0.3333333333333333
11,School Totals,25,68,23,60,2,8,12,22,12,18,8,13,5,10,14,64,0.17647058823529413,0.8
