,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jacy Sheldon,9,17,7,12,2,5,3,3,0,3,8,3,0,6,3,23,0.17647058823529413,1.3333333333333333
1,Taylor Mikesell,7,15,3,8,4,7,0,1,0,5,2,2,1,3,3,18,0.0,0.6666666666666666
2,Braxtin Miller,1,4,0,2,1,2,3,4,1,8,3,0,1,1,4,6,0.75,3.0
3,Rikki Harris,2,5,1,1,1,4,2,2,2,5,1,0,0,3,4,7,0.4,0.3333333333333333
4,Rebeka Mikulasikova,5,9,3,6,2,3,0,0,0,2,1,0,0,2,0,12,0.0,0.5
8,School Totals,28,58,18,36,10,22,13,16,6,33,16,5,4,19,22,79,0.22413793103448276,0.8421052631578947
