,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Brittney Griner,39,.424,.375,.000,.688,7.1,15.8,12.1,0.0,0.0,7.6,8.8,30.3,90,84
1,Kelli Griffin,37,.707,.625,.125,.500,0.0,11.1,6.4,52.6,1.6,0.0,23.5,17.8,130,86
2,Melissa Jones,36,.550,.550,.200,.000,15.3,14.2,14.7,24.8,3.3,0.0,9.1,15.8,125,79
3,Morghan Medlock,35,.672,.600,.000,.400,0.0,17.6,10.1,9.3,0.0,0.0,25.4,11.6,106,85
4,Shanay Washington,17,.625,.625,.250,.000,8.1,0.0,3.5,29.0,0.0,0.0,20.0,30.4,102,99
6,Kimetria Hayden,17,.504,.600,.000,.400,16.2,6.0,10.4,11.2,7.0,0.0,14.5,20.9,95,76
7,Terran Condrey,14,.333,.333,.000,.000,9.9,14.7,12.6,11.4,4.3,0.0,0.0,11.1,102,77
8,Lindsay Palmer,1,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0,95
9,Jordan Madden,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,99
10,Mariah Chandler,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,99
11,Whitney Zachariason,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,99
12,Ashley Field,1,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.7,0,99
13,School Totals,200,.523,.500,.088,.333,34.5,61.5,50.0,78.6,9.0,7.4,15.4,100.0,103.0,82.1
