,Robert Morris ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Anna Niki Stamolamprou,6,20,1,9,5,11,2,2,1,2,3,2,0,4,2,19,0.1,0.75
1,Rebecca Navarro,2,8,1,3,1,5,2,2,0,2,1,0,0,1,1,7,0.25,1.0
2,Megan Smith,4,13,4,9,0,4,2,2,2,3,0,2,0,3,2,10,0.15384615384615385,0.0
3,Nia Adams,1,5,1,4,0,1,0,0,0,0,0,0,0,0,1,2,0.0,0.0
4,Mikalah Mulrain,0,4,0,4,0,0,0,0,3,0,1,2,1,1,3,0,0.0,1.0
10,School Totals,17,64,10,40,7,24,8,8,7,14,7,8,1,9,14,49,0.125,0.7777777777777778
