,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alyssa Thomas,6,10,6,10,0,0,4,4,3,1,2,2,1,0,1,16,0.4,0.0
1,Diandra Tchatchouang,4,8,4,5,0,3,3,8,3,2,4,3,0,3,2,11,0.375,1.3333333333333333
2,Anjale Barrett,4,6,1,2,3,4,0,0,0,2,2,0,2,4,2,11,0.0,0.5
3,Kim Rodgers,1,6,0,2,1,4,2,2,1,3,0,1,1,2,1,5,0.3333333333333333,0.0
4,Lynetta Kizer,3,10,3,10,0,0,2,4,5,4,0,1,1,1,2,8,0.2,0.0
12,School Totals,23,58,18,41,5,17,19,29,19,24,12,12,6,23,17,70,0.3275862068965517,0.5217391304347826
