,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Hrynko,2,15,2,9,0,6,4,4,2,4,6,2,0,5,2,8,0.26666666666666666,1.2
1,Katherine Harry,2,7,2,7,0,0,0,0,1,6,1,1,2,2,1,4,0.0,0.5
2,Jasmine Penny,2,12,2,12,0,0,1,1,4,3,1,3,0,3,3,5,0.08333333333333333,0.3333333333333333
3,Anna Martin,9,18,7,13,2,5,0,0,3,2,2,3,0,3,5,20,0.0,0.6666666666666666
4,Deanna Ortiz,4,5,3,4,1,1,0,0,0,1,0,1,0,1,1,9,0.0,0.0
7,School Totals,20,64,17,47,3,17,5,5,10,20,10,11,2,14,14,48,0.078125,0.7142857142857143
