,American ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jade Edwards,3,7,3,5,0,2,1,1,0,3,1,0,0,2,3,7,0.14285714285714285,0.5
1,Emily Fisher,3,8,3,5,0,3,0,0,0,6,3,2,1,9,2,6,0.0,0.3333333333333333
2,Taylor Brown,3,13,2,6,1,7,1,1,1,4,3,2,0,4,1,8,0.07692307692307693,0.75
3,Ivy Bales,1,8,1,5,0,3,0,0,3,4,0,0,1,1,0,2,0.0,0.0
4,Lauren Stack,4,5,4,5,0,0,2,3,0,1,0,0,0,2,5,10,0.4,0.0
11,School Totals,17,57,16,36,1,21,4,5,6,23,10,5,2,20,17,39,0.07017543859649122,0.5
