,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Pedersen,7,15,6,9,1,6,3,4,3,7,1,1,1,1,1,18,0.2,1.0
1,Jeanette Pohlen,2,7,1,2,1,5,0,0,2,4,4,0,0,5,0,5,0.0,0.8
2,Nnemkadi Ogwumike,5,17,5,17,0,0,6,7,3,11,1,1,0,1,2,16,0.35294117647058826,1.0
3,Rosalyn Gold-Onwude,1,3,0,1,1,2,0,0,0,1,2,0,1,2,1,3,0.0,1.0
4,Jayne Appel,3,7,3,7,0,0,2,2,1,3,1,0,0,0,5,8,0.2857142857142857,0.0
8,School Totals,20,57,16,39,4,18,11,14,9,29,13,2,3,12,13,55,0.19298245614035087,1.0833333333333333
