,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lexie Brown,5,11,4,7,1,4,3,4,0,3,6,7,1,5,3,14,0.2727272727272727,1.2
1,Leaonna Odom,7,12,7,12,0,0,2,2,0,7,1,0,1,3,2,16,0.16666666666666666,0.3333333333333333
2,Erin Mathias,5,8,5,8,0,0,4,4,3,5,1,1,1,1,2,14,0.5,1.0
3,Rebecca Greenwell,4,7,3,4,1,3,2,2,1,8,1,1,0,3,1,11,0.2857142857142857,0.3333333333333333
4,Faith Suggs,2,5,1,3,1,2,1,3,0,4,0,2,0,1,1,6,0.2,0.0
11,School Totals,25,50,21,39,4,11,12,15,6,32,10,11,3,21,11,66,0.24,0.47619047619047616
