,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Mercedes Russell,4,5,4,5,0,0,0,2,3,10,1,0,2,0,0,8,0.0,0.0
1,Jordan Reynolds,1,5,1,4,0,1,2,2,1,2,4,0,0,0,1,4,0.4,0.0
2,Diamond DeShields,4,15,2,10,2,5,4,6,0,4,3,2,1,2,5,14,0.26666666666666666,1.5
3,Bashaara Graves,2,6,2,5,0,1,1,2,0,5,2,1,0,2,2,5,0.16666666666666666,1.0
4,Jaime Nared,1,7,1,6,0,1,2,2,0,1,0,0,0,2,1,4,0.2857142857142857,0.0
11,School Totals,21,55,18,43,3,12,14,19,7,26,13,4,3,10,16,59,0.2545454545454545,1.3
