,Vanderbilt ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine Lister,4,10,4,9,0,1,11,14,1,4,5,0,0,6,2,19,1.1,0.8333333333333334
1,Christina Foggie,3,14,2,7,1,7,0,1,1,1,2,1,0,1,1,7,0.0,2.0
2,Elan Brown,4,9,1,4,3,5,1,2,4,5,2,3,0,0,1,12,0.1111111111111111,0.0
3,Stephanie Holzer,4,6,4,6,0,0,1,2,4,6,2,3,3,4,4,9,0.16666666666666666,0.5
4,Tiffany Clarke,2,4,2,4,0,0,1,2,2,2,0,1,0,1,4,5,0.25,0.0
9,School Totals,21,51,17,36,4,15,14,21,15,22,13,8,3,12,17,60,0.27450980392156865,1.0833333333333333
