,Middle Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shanice Cason,0,7,0,5,0,2,2,2,1,2,7,0,0,3,4,2,0.2857142857142857,2.3333333333333335
1,Ebony Rowe,4,14,4,14,0,0,2,5,14,2,2,1,1,3,3,10,0.14285714285714285,0.6666666666666666
2,Kortni Jones,5,14,3,8,2,6,0,0,1,0,0,2,0,3,2,12,0.0,0.0
3,Icelyn Elie,3,14,3,10,0,4,1,2,6,10,0,1,2,3,4,7,0.07142857142857142,0.0
4,Laken Leonard,3,8,0,1,3,7,0,0,1,0,0,0,0,0,0,9,0.0,0.0
10,School Totals,18,64,13,44,5,20,5,10,24,16,9,4,3,13,17,46,0.078125,0.6923076923076923
