,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alicia Manning,8,16,8,16,0,0,1,1,2,8,7,2,1,2,0,17,0.0625,3.5
1,Angie Bjorklund,4,7,1,3,3,4,0,0,0,2,3,1,0,0,2,11,0.0,0.0
2,Shekinna Stricklen,3,7,3,6,0,1,1,1,2,4,4,3,1,1,1,7,0.14285714285714285,4.0
3,Alyssia Brewer,7,13,7,13,0,0,0,1,4,4,1,0,1,1,4,14,0.0,1.0
4,Kelley Cain,6,10,6,10,0,0,0,3,4,5,0,0,6,0,1,12,0.0,0.0
10,School Totals,41,76,35,65,6,11,4,12,15,28,20,10,10,9,16,92,0.05263157894736842,2.2222222222222223
