,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Justine Raterman,8,11,8,9,0,2,1,2,1,3,0,1,1,1,0,17,0.09090909090909091,0.0
1,Kristin Daugherty,3,9,2,8,1,1,1,3,1,1,1,0,0,3,0,8,0.1111111111111111,0.3333333333333333
2,Casey Nance,2,4,2,4,0,0,0,0,0,9,0,0,2,1,5,4,0.0,0.0
3,Kendel Ross,2,8,0,5,2,3,2,2,2,2,3,1,1,0,1,8,0.25,0.0
4,Patrice Lalor,1,3,1,2,0,1,0,0,0,0,2,1,0,2,2,2,0.0,1.0
14,School Totals,27,65,23,52,4,13,6,10,8,25,9,6,5,15,16,64,0.09230769230769231,0.6
