,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Merideth Marsh,45,.676,.607,.571,.786,6.1,7.1,6.7,4.8,1.2,0.0,13.7,23.4,126,101
1,Jence Rhoads,45,.542,.455,.000,.545,0.0,14.3,8.0,13.0,3.6,1.8,26.8,19.9,89,91
2,Hannah Tuomi,37,.863,1.000,.000,.857,14.7,23.2,19.5,37.4,1.5,0.0,17.2,15.1,151,92
3,Tiffany Clarke,12,.202,.250,.000,.500,0.0,17.9,10.0,0.0,0.0,0.0,17.0,23.6,36,98
4,Gabby Smith,12,.000,.000,.333,.000,0.0,8.9,5.0,0.0,0.0,0.0,0.0,12.0,0,102
6,Jessica Mooney,32,.591,.556,.111,.667,4.3,10.0,7.5,40.2,6.7,0.0,20.5,22.0,112,87
7,Lauren Lueders,29,.364,.364,.818,.000,0.0,11.1,6.2,13.3,0.0,0.0,8.3,19.9,82,101
8,Rebecca Silinski,7,.526,,,,19.5,30.6,25.7,0.0,0.0,11.3,53.2,12.9,73,85
9,Elan Brown,6,.000,.000,.750,.000,68.2,0.0,30.0,80.4,0.0,0.0,0.0,32.1,78,106
10,School Totals,225,.527,.484,.349,.524,33.3,66.7,52.0,75.0,10.8,3.5,16.9,100.0,100.0,91.6
