,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Vanderbilt ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Felicia Chester,43,.638,.615,.000,.308,7.5,12.7,9.8,13.9,0.0,2.6,11.9,18.1,126,108
1,Anna Martin,39,.602,.579,.263,.105,5.5,10.5,7.7,29.6,0.0,0.0,13.1,27.3,118,110
2,Keisha Hampton,38,.412,.417,.333,.167,14.1,10.8,12.6,14.9,2.8,8.7,13.4,27.3,91,100
3,Katherine Harry,32,.072,.000,.000,.333,6.7,8.5,7.5,4.5,3.4,3.4,22.5,12.9,31,102
4,Sam Quigley,31,.500,.500,.357,.000,0.0,13.2,5.8,6.5,3.5,0.0,12.5,24.0,94,101
6,Deanna Ortiz,19,.200,.200,.600,.000,0.0,14.4,6.3,33.1,5.7,0.0,16.7,14.7,70,97
7,Jennifer Juergens,15,.000,.000,.000,.000,7.1,36.4,20.0,0.0,0.0,0.0,66.7,9.3,15,101
8,Maureen Mulchrone,8,,,,,13.4,17.0,15.0,18.1,0.0,0.0,100.0,5.8,63,109
9,School Totals,225,.468,.454,.250,.145,33.3,66.7,48.0,58.1,9.6,12.2,16.5,100.0,91.6,100.0
