,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,AD Durr,6,21,1,11,5,10,4,5,0,3,1,1,0,4,1,21,0.19047619047619047,0.25
1,Mariya Moore,3,11,2,5,1,6,3,3,2,4,1,1,0,2,3,10,0.2727272727272727,0.5
2,Myisha Hines-Allen,5,16,5,16,0,0,2,2,3,6,1,0,1,0,0,12,0.125,0.0
3,Kylee Shook,2,4,1,1,1,3,0,0,1,0,0,0,0,0,3,5,0.0,0.0
4,Cortnee Walton,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
14,School Totals,21,70,14,49,7,21,14,18,13,19,9,3,2,10,20,63,0.2,0.9
