,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kristy Wallace,4,10,2,4,2,6,2,3,2,2,3,2,0,1,0,12,0.2,3.0
1,Alexis Prince,5,11,3,5,2,6,2,3,0,5,0,1,0,2,2,14,0.18181818181818182,0.0
2,Nina Davis,10,15,10,15,0,0,1,1,5,2,0,2,0,1,3,21,0.06666666666666667,0.0
3,Kalani Brown,4,8,4,8,0,0,4,4,4,8,2,0,3,2,4,12,0.5,1.0
4,Dekeiya Cohen,0,1,0,1,0,0,4,4,0,2,1,0,0,0,0,4,4.0,0.0
12,School Totals,35,70,29,52,6,18,21,26,16,33,15,7,6,10,18,97,0.3,1.5
