,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Natalie Novosel,5,18,5,14,0,4,18,20,2,7,1,4,0,4,2,28,1.0,0.25
1,Skylar Diggins,9,15,9,14,0,1,3,6,1,1,4,2,0,0,1,21,0.2,0.0
2,Kayla McBride,4,6,3,5,1,1,0,0,0,3,1,4,0,1,1,9,0.0,1.0
3,Brittany Mallory,1,3,1,1,0,2,0,1,0,2,0,2,0,1,2,2,0.0,0.0
4,Devereaux Peters,3,7,3,7,0,0,5,6,9,5,5,1,7,4,4,11,0.7142857142857143,1.25
8,School Totals,23,56,22,47,1,9,26,33,16,20,13,14,8,12,15,73,0.4642857142857143,1.0833333333333333
