,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nia Clouden,4,9,3,6,1,3,7,8,2,4,1,0,0,2,1,16,0.7777777777777778,0.5
1,Alyza Winston,5,14,4,8,1,6,0,1,0,0,3,1,0,1,4,11,0.0,3.0
2,Janai Crooms,3,4,3,4,0,0,2,3,0,3,4,1,0,1,1,8,0.5,4.0
3,Alisia Smith,4,6,4,6,0,0,0,0,0,2,0,0,0,0,3,8,0.0,0.0
4,Moira Joiner,2,2,1,1,1,1,0,0,1,1,1,0,1,2,4,5,0.0,0.5
10,School Totals,28,63,23,46,5,17,14,21,15,22,11,4,4,11,25,75,0.2222222222222222,1.0
