,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Emily Ryan,2,7,0,2,2,5,3,4,1,3,6,4,0,2,3,9,0.42857142857142855,3.0
1,Lexi Donarski,3,11,3,7,0,4,4,4,0,2,3,0,1,3,3,10,0.36363636363636365,1.0
2,Ashley Joens,10,22,6,15,4,7,9,12,2,7,1,0,0,2,3,33,0.4090909090909091,0.5
3,Kristin Scott,4,6,2,3,2,3,2,2,2,5,0,1,2,0,0,12,0.3333333333333333,0.0
4,Kylie Feuerbach,0,3,0,2,0,1,0,0,1,0,0,0,0,1,2,0,0.0,0.0
9,School Totals,25,57,16,35,9,22,20,28,11,24,12,5,3,12,17,79,0.3508771929824561,1.0
