,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Latifah Coleman,5,15,3,10,2,5,3,4,0,0,3,0,0,1,1,15,0.2,3.0
1,Stephanie Mavunga,4,12,4,11,0,1,2,2,6,7,0,3,3,3,5,10,0.16666666666666666,0.0
2,Allisha Gray,3,8,3,7,0,1,6,6,1,4,0,2,0,1,3,12,0.75,0.0
3,Brittany Rountree,1,3,1,3,0,0,1,2,0,2,5,0,1,1,3,3,0.3333333333333333,5.0
4,N'Dea Bryant,4,10,4,10,0,0,1,2,0,3,0,1,0,1,2,9,0.1,0.0
10,School Totals,23,62,19,49,4,13,15,20,10,22,9,8,4,9,22,65,0.24193548387096775,1.0
