,Tennessee-Martin ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Heather Butler,5,16,2,6,3,10,6,6,0,3,3,0,0,2,2,19,0.375,1.5
1,Jasmine Newsome,2,11,1,6,1,5,3,5,0,4,4,2,0,3,2,8,0.2727272727272727,1.3333333333333333
2,Katie Schubert,3,7,1,3,2,4,0,0,1,5,4,0,0,3,3,8,0.0,1.3333333333333333
3,Ashia Jones,7,10,7,10,0,0,4,8,1,7,0,2,1,1,4,18,0.4,0.0
4,Shai Warfield-Cross,0,1,0,0,0,1,0,0,1,2,1,0,0,1,0,0,0.0,1.0
8,School Totals,18,47,11,25,7,22,15,21,3,24,12,4,1,10,16,58,0.3191489361702128,1.2
