,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shoni Schimmel,6,13,3,8,3,5,4,4,0,2,6,0,0,2,0,19,0.3076923076923077,3.0
1,Antonita Slaughter,4,12,2,3,2,9,0,0,1,1,3,0,0,0,1,10,0.0,0.0
2,Asia Taylor,3,8,3,8,0,0,1,2,3,7,3,0,1,1,2,7,0.125,3.0
3,Bria Smith,1,4,1,4,0,0,2,2,0,3,4,0,0,2,3,4,0.5,2.0
4,Sara Hammond,2,7,2,6,0,1,1,4,1,7,0,0,0,0,3,5,0.14285714285714285,0.0
11,School Totals,25,63,13,33,12,30,11,16,9,33,21,4,4,10,19,73,0.1746031746031746,2.1
