,Louisiana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Danielle Ballard,12,25,12,25,0,0,0,0,5,5,0,2,1,2,2,24,0.0,0.0
1,Jasmine Rhodes,2,9,2,8,0,1,4,4,3,5,0,2,0,1,1,8,0.4444444444444444,0.0
2,Theresa Plaisance,1,13,1,10,0,3,5,7,4,8,1,1,1,1,3,7,0.38461538461538464,1.0
3,DaShawn Harden,1,11,0,9,1,2,4,4,0,4,0,1,0,2,3,7,0.36363636363636365,0.0
4,Shanece McKinney,0,1,0,1,0,0,1,4,7,3,1,0,0,1,5,1,1.0,1.0
8,School Totals,16,67,15,58,1,9,14,19,19,28,2,7,2,11,17,47,0.208955223880597,0.18181818181818182
