,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Peyton Little,5,11,3,6,2,5,2,2,3,0,2,0,0,1,4,14,0.18181818181818182,2.0
1,Gabbi Ortiz,3,6,2,3,1,3,0,0,2,4,6,0,0,3,1,7,0.0,2.0
2,Maddie Manning,5,12,4,7,1,5,1,2,0,3,3,2,0,0,3,12,0.08333333333333333,0.0
3,Chelsea Dungee,6,12,4,7,2,5,2,2,0,2,1,0,0,0,4,16,0.16666666666666666,0.0
4,Vionise Pierre-Louis,3,11,3,11,0,0,0,0,2,5,1,0,4,5,3,6,0.0,0.2
10,School Totals,32,69,20,43,12,26,6,8,9,16,14,3,5,12,22,82,0.08695652173913043,1.1666666666666667
