,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Marjorie Butler,2,5,2,4,0,1,0,0,1,4,7,2,1,3,4,4,0.0,2.3333333333333335
1,Tiaria Griffin,7,20,3,7,4,13,0,2,2,2,3,1,0,2,2,18,0.0,1.5
2,Pachis Roberts,1,7,0,2,1,5,0,0,2,1,5,0,0,2,2,3,0.0,2.5
3,Haley Clark,3,4,3,4,0,0,0,0,2,5,1,0,0,4,5,6,0.0,0.25
4,Merritt Hempe,3,11,2,9,1,2,1,1,0,6,1,0,0,3,4,8,0.09090909090909091,0.3333333333333333
7,School Totals,25,64,18,40,7,24,1,5,10,27,20,3,7,16,21,58,0.015625,1.25
