,Wright State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Angel Baker,3,14,2,9,1,5,3,4,1,3,0,0,0,4,3,10,0.21428571428571427,0.0
1,Emani Jefferson,3,8,2,5,1,3,1,2,2,4,3,0,0,2,3,8,0.125,1.5
2,Jada Wright,0,2,0,2,0,0,0,2,1,3,0,0,2,2,2,0,0.0,0.0
3,Jada Roberson,2,8,2,7,0,1,1,2,1,2,0,1,0,0,0,5,0.125,0.0
4,Tyler Frierson,1,3,1,3,0,0,0,0,2,1,0,3,3,0,4,2,0.0,0.0
13,School Totals,14,52,11,34,3,18,8,15,10,18,4,7,6,12,18,39,0.15384615384615385,0.3333333333333333
