,Missouri State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brice Calip,2,9,2,7,0,2,5,5,1,6,6,0,0,2,0,9,0.5555555555555556,3.0
1,Jasmine Franklin,4,15,4,15,0,0,3,4,6,5,1,0,2,0,2,11,0.2,0.0
2,Abby Hipp,2,3,2,3,0,0,1,2,1,1,3,1,0,1,1,5,0.3333333333333333,3.0
3,Mya Bhinhar,2,3,1,2,1,1,0,0,1,7,2,1,0,1,0,5,0.0,2.0
4,Sydney Wilson,1,5,0,2,1,3,2,2,1,3,1,0,0,0,4,5,0.4,0.0
12,School Totals,21,58,13,42,8,16,14,17,14,27,14,7,2,12,13,64,0.2413793103448276,1.1666666666666667
