,Vermont ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtnay Pilypaitis,4,9,2,3,2,6,1,1,2,5,7,7,0,10,2,11,0.1111111111111111,0.7
1,May Kotsopoulos,4,8,2,5,2,3,2,2,0,1,4,0,0,2,4,12,0.25,2.0
2,Kendra Seto,5,13,2,8,3,5,1,1,0,3,0,2,0,2,4,14,0.07692307692307693,0.0
3,Alissa Sheftic,7,11,7,11,0,0,0,0,4,3,1,1,2,2,5,14,0.0,0.5
4,Sofia Iwobi,5,9,5,9,0,0,1,1,2,4,5,0,1,3,1,11,0.1111111111111111,1.6666666666666667
10,School Totals,27,55,20,40,7,15,5,5,8,18,19,10,5,24,20,66,0.09090909090909091,0.7916666666666666
