,Western Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ivy Brown,3,9,1,3,2,6,6,6,3,2,2,0,0,0,4,14,0.6666666666666666,0.0
1,Tashia Brown,7,21,6,19,1,2,2,4,3,4,1,4,1,3,1,17,0.09523809523809523,0.3333333333333333
2,Whitney Creech,1,4,0,2,1,2,0,0,0,3,3,2,0,1,2,3,0.0,3.0
3,Raneem Elgedawy,3,9,3,9,0,0,1,4,0,3,0,0,2,2,3,7,0.1111111111111111,0.0
4,Sherry Porter,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0
9,School Totals,20,61,12,39,8,22,10,16,7,18,9,7,3,6,18,58,0.16393442622950818,1.5
