,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Marie Gulich,11,15,11,15,0,0,7,7,6,9,1,1,1,2,3,29,0.4666666666666667,0.5
1,Mikayla Pivec,4,7,1,2,3,5,4,6,1,2,8,0,0,0,3,15,0.5714285714285714,0.0
2,Katie McWilliams,3,6,2,4,1,2,3,4,1,5,3,0,1,2,2,10,0.5,1.5
3,Taya Corosdale,2,7,2,5,0,2,0,0,2,6,3,0,0,0,1,4,0.0,0.0
4,Kat Tudor,5,13,0,2,5,11,4,4,1,2,1,1,0,1,0,19,0.3076923076923077,1.0
10,School Totals,26,57,16,34,10,23,20,24,13,30,19,2,3,11,14,82,0.3508771929824561,1.7272727272727273
