,Mercer ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jada Lewis,6,11,4,6,2,5,0,0,0,6,4,0,0,4,3,14,0.0,1.0
1,Shannon Titus,5,19,5,18,0,1,2,2,0,1,3,3,1,1,4,12,0.10526315789473684,3.0
2,Amoria Neal-Tysor,7,18,6,13,1,5,0,0,0,2,1,4,0,4,3,15,0.0,0.25
3,Allie Thayne,0,1,0,1,0,0,0,0,3,1,0,1,0,0,3,0,0.0,0.0
4,Jaron Dougherty,3,9,3,9,0,0,0,0,2,0,2,1,0,1,4,6,0.0,2.0
9,School Totals,24,65,21,54,3,11,2,3,7,18,14,9,4,12,21,53,0.03076923076923077,1.1666666666666667
