,South Dakota State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tylee Irwin,1,8,1,5,0,3,1,2,2,6,5,0,0,3,0,3,0.125,1.6666666666666667
1,Lindsey Theuninck,2,8,1,2,1,6,0,0,2,4,2,0,0,5,4,5,0.0,0.4
2,Tori Nelson,3,6,2,5,1,1,4,5,2,3,0,0,0,1,3,11,0.6666666666666666,0.0
3,Haley Greer,4,11,3,5,1,6,0,0,0,5,1,1,1,8,2,9,0.0,0.125
4,Paiton Burckhard,7,13,7,12,0,1,3,3,1,1,0,2,0,2,4,17,0.23076923076923078,0.0
10,School Totals,20,60,16,40,4,20,11,14,8,29,10,4,2,22,14,55,0.18333333333333332,0.45454545454545453
