,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Janee Thompson,4,13,2,8,2,5,3,4,0,2,2,2,1,1,1,13,0.23076923076923078,2.0
1,Makayla Epps,10,20,7,14,3,6,1,1,0,3,5,2,0,1,0,24,0.05,5.0
2,Batouly Camara,1,3,1,3,0,0,3,4,2,9,2,1,2,2,1,5,1.0,1.0
3,Maci Morris,3,3,0,0,3,3,0,0,0,6,1,0,0,2,2,9,0.0,0.5
4,Evelyn Akhator,5,7,5,7,0,0,0,0,3,4,2,1,1,0,2,10,0.0,0.0
9,School Totals,33,66,25,50,8,16,11,14,14,32,17,8,7,10,11,85,0.16666666666666666,1.7
