,Drake ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sammie Bachrodt,1,9,0,5,1,4,0,0,0,2,5,1,0,0,2,3,0.0,0.0
1,Becca Hittner,7,21,3,13,4,8,1,1,2,7,4,1,0,2,4,19,0.047619047619047616,2.0
2,Maddy Dean,3,4,1,1,2,3,2,2,1,5,4,0,0,3,3,10,0.5,1.3333333333333333
3,Sara Rhine,6,10,5,8,1,2,5,8,0,4,0,1,3,4,4,18,0.5,0.0
4,Maddie Petersen,2,3,1,1,1,2,0,0,0,0,4,0,0,1,0,5,0.0,4.0
10,School Totals,28,65,16,39,12,26,8,11,9,19,23,8,3,16,20,76,0.12307692307692308,1.4375
