,Temple ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Victoria Macaulay,6,11,6,11,0,0,0,0,3,1,0,0,3,0,1,12,0.0,0.0
1,Shey Peddy,4,10,2,4,2,6,0,0,1,6,3,6,0,5,2,10,0.0,0.6
2,Kristen McCarthy,4,7,3,4,1,3,1,2,1,3,1,3,0,1,1,10,0.14285714285714285,1.0
3,Qwedia Wallace,3,10,3,9,0,1,2,2,0,4,3,1,0,1,1,8,0.2,3.0
4,Marli Bennett,2,3,2,2,0,1,0,0,0,1,2,0,1,0,4,4,0.0,0.0
11,School Totals,27,59,23,46,4,13,5,6,10,20,12,11,4,10,15,63,0.0847457627118644,1.2
