,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine Thomas,4,18,3,11,1,7,7,8,0,3,1,1,0,1,1,16,0.3888888888888889,1.0
1,Joy Cheek,2,10,1,7,1,3,2,2,2,4,1,4,0,4,1,7,0.2,0.25
2,Keturah Jackson,1,8,0,6,1,2,0,0,3,2,1,0,0,0,2,3,0.0,0.0
3,Krystal Thomas,2,7,2,7,0,0,0,2,1,4,2,0,1,0,5,4,0.0,0.0
4,Bridgette Mitchell,3,8,3,8,0,0,0,0,3,2,1,0,0,1,4,6,0.0,1.0
8,School Totals,15,65,12,48,3,17,15,20,16,25,7,6,4,10,16,48,0.23076923076923078,0.7
