,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Notre Dame ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Courtnay Pilypaitis,40,.580,.556,.667,.111,8.3,15.2,12.3,30.4,9.6,0.0,51.4,23.9,74,103
1,May Kotsopoulos,39,.670,.625,.375,.250,0.0,3.1,1.8,17.9,0.0,0.0,18.4,13.7,125,127
2,Kendra Seto,32,.519,.500,.385,.077,0.0,11.4,6.6,0.0,3.4,0.0,13.0,23.8,95,116
3,Alissa Sheftic,31,.636,.636,.000,.000,21.5,11.7,15.8,7.2,1.8,5.3,15.4,20.7,116,117
4,Sofia Iwobi,30,.580,.556,.000,.111,11.1,16.2,14.0,32.8,0.0,2.7,24.1,20.4,110,121
6,Lauren Buschmann,12,.333,.333,.000,.000,0.0,0.0,0.0,0.0,0.0,6.8,40.0,20.5,40,124
7,Tonya Young,7,.500,.500,.500,.000,0.0,17.3,10.0,26.8,0.0,11.7,50.0,28.1,59,116
8,Lauren Wheeler,5,,,,,0.0,24.2,14.0,0.0,0.0,0.0,100.0,9.9,0,119
9,Kristine Lalonde,3,,,,,0.0,0.0,0.0,49.4,0.0,0.0,,0.0,226,129
10,Morgan Albert,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,129
11,School Totals,200,.575,.555,.273,.091,33.3,54.5,45.6,70.4,13.7,10.2,29.5,100.0,90.4,115.1
