,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittney Griner,8,14,8,14,0,0,9,10,2,7,4,1,6,3,3,25,0.6428571428571429,1.3333333333333333
1,Odyssey Sims,3,11,2,7,1,4,7,10,4,1,2,3,0,4,2,14,0.6363636363636364,0.5
2,Jordan Madden,4,7,3,4,1,3,4,6,4,2,2,1,1,4,2,13,0.5714285714285714,0.5
3,Destiny Williams,5,11,5,11,0,0,1,1,4,9,2,1,0,1,2,11,0.09090909090909091,2.0
4,Kimetria Hayden,3,7,1,4,2,3,3,4,1,1,3,1,0,1,2,11,0.42857142857142855,3.0
11,School Totals,24,55,20,45,4,10,24,33,16,23,14,9,7,15,12,76,0.43636363636363634,0.9333333333333333
