,Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nicole Munger,1,3,0,0,1,3,5,6,0,2,2,0,0,3,3,8,1.6666666666666667,0.6666666666666666
1,Amy Dilk,2,4,2,4,0,0,0,0,0,7,5,0,0,5,0,4,0.0,1.0
2,Hailey Brown,1,4,1,2,0,2,0,0,0,2,0,1,1,2,1,2,0.0,0.0
3,Hallie Thome,3,10,3,10,0,0,0,2,0,2,1,0,1,0,0,6,0.0,0.0
4,Deja Church,1,7,1,6,0,1,0,0,0,2,0,1,0,3,2,2,0.0,0.0
13,School Totals,21,49,18,40,3,9,5,8,6,25,10,5,3,22,13,50,0.10204081632653061,0.45454545454545453
