,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,AD Durr,9,23,4,9,5,14,1,1,0,2,5,3,2,1,2,24,0.043478260869565216,5.0
1,Jazmine Jones,7,12,7,11,0,1,1,2,2,2,4,2,0,0,1,15,0.08333333333333333,0.0
2,Sam Fuehring,4,5,3,4,1,1,1,1,0,2,1,2,0,2,2,10,0.2,0.5
3,Arica Carter,1,8,1,4,0,4,0,0,4,3,3,3,0,2,2,2,0.0,1.5
4,Kylee Shook,4,7,4,6,0,1,0,0,4,6,0,0,2,1,1,8,0.0,0.0
11,School Totals,30,70,22,44,8,26,3,4,13,20,16,11,5,11,11,71,0.04285714285714286,1.4545454545454546
