,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Bolte,5,18,2,7,3,11,2,2,0,3,0,1,1,2,1,15,0.1111111111111111,0.0
1,Denae Stuckey,1,2,0,1,1,1,1,2,2,5,3,2,0,2,3,4,0.5,1.5
2,Alison Lacey,3,12,3,6,0,6,6,8,0,2,7,1,0,2,0,12,0.5,3.5
3,Anna Prins,5,8,2,5,3,3,0,0,0,2,0,0,2,1,1,13,0.0,0.0
4,Chelsea Poppens,2,3,2,3,0,0,1,3,3,5,0,1,0,2,4,5,0.3333333333333333,0.0
8,School Totals,19,51,11,27,8,24,14,21,8,23,13,5,3,9,12,60,0.27450980392156865,1.4444444444444444
