,Green Bay ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Tetschlag,10,13,6,8,4,5,5,5,1,5,1,0,1,4,2,29,0.38461538461538464,0.25
1,Heather Golden,0,2,0,0,0,2,0,0,0,1,1,0,0,4,3,0,0.0,0.25
2,Julie Wojta,5,9,4,8,1,1,1,1,0,5,1,1,0,2,2,12,0.1111111111111111,0.5
3,Celeste Hoewisch,0,5,0,5,0,0,4,4,0,4,1,0,0,6,4,4,0.8,0.16666666666666666
4,Sarah Eichler,1,2,1,1,0,1,0,0,0,0,3,0,0,0,5,2,0.0,0.0
9,School Totals,20,48,14,31,6,17,10,10,4,26,15,3,2,18,20,56,0.20833333333333334,0.8333333333333334
