,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,A'dia Mathies,4,7,4,7,0,0,2,4,1,4,4,2,2,5,4,10,0.2857142857142857,0.8
1,Kastine Evans,3,5,1,3,2,2,2,2,1,4,2,2,0,3,0,10,0.4,0.6666666666666666
2,Amber Smith,1,2,0,1,1,1,1,2,1,1,5,1,0,9,1,4,0.5,0.5555555555555556
3,Bria Goss,3,9,3,8,0,1,2,2,1,1,0,0,0,4,3,8,0.2222222222222222,0.0
4,Samantha Drake,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0
10,School Totals,25,49,21,39,4,10,11,16,10,24,15,11,4,34,16,65,0.22448979591836735,0.4411764705882353
