,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Gabrielle Cooper,2,6,0,0,2,6,0,0,0,2,0,0,1,0,2,6,0.0,0.0
1,Miranda Drummond,5,13,4,4,1,9,0,0,1,4,1,1,0,1,3,11,0.0,1.0
2,Digna Strautmane,3,4,3,3,0,1,0,0,1,4,1,1,0,0,3,6,0.0,0.0
3,Tiana Mangakahia,6,18,4,14,2,4,4,4,1,3,8,2,0,5,5,18,0.2222222222222222,1.6
4,Amaya Finklea-Guity,3,6,3,6,0,0,0,0,1,3,0,0,0,1,1,6,0.0,0.0
10,School Totals,26,64,21,43,5,21,7,9,7,19,12,6,3,11,19,64,0.109375,1.0909090909090908
