,South Dakota State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Madison Guebert,6,12,0,2,6,10,2,2,1,5,0,2,0,2,3,20,0.16666666666666666,0.0
1,Macy Miller,3,9,3,6,0,3,5,7,3,7,5,2,0,1,1,11,0.5555555555555556,5.0
2,Myah Selland,7,14,7,13,0,1,3,4,0,8,5,2,2,1,1,17,0.21428571428571427,5.0
3,Tylee Irwin,1,6,0,3,1,3,0,0,0,2,2,1,0,2,3,3,0.0,1.0
4,Tagyn Larson,3,6,3,6,0,0,2,2,2,4,4,0,0,0,1,8,0.3333333333333333,0.0
9,School Totals,27,59,18,38,9,21,12,15,8,31,21,7,2,8,12,75,0.2033898305084746,2.625
