,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shoni Schimmel,8,25,5,13,3,12,3,7,0,6,9,3,0,3,4,22,0.12,3.0
1,Becky Burke,1,6,1,1,0,5,3,3,1,2,0,1,0,1,1,5,0.5,0.0
2,Asia Taylor,3,6,3,6,0,0,0,0,2,5,1,1,0,4,3,6,0.0,0.25
3,Bria Smith,4,6,4,6,0,0,4,4,0,2,2,1,1,3,5,12,0.6666666666666666,0.6666666666666666
4,Sheronne Vails,1,2,1,2,0,0,0,0,0,0,0,0,0,0,3,2,0.0,0.0
10,School Totals,26,63,23,44,3,19,13,18,10,21,15,8,1,15,23,68,0.20634920634920634,1.0
