,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Makayla Epps,10,23,10,20,0,3,1,1,0,2,4,1,0,1,1,21,0.043478260869565216,4.0
1,Evelyn Akhator,4,20,4,19,0,1,6,8,8,15,1,0,4,3,2,14,0.3,0.3333333333333333
2,Taylor Murray,2,5,2,4,0,1,3,4,1,3,5,1,0,4,4,7,0.6,1.25
3,Maci Morris,5,13,3,8,2,5,0,0,0,2,1,0,1,1,5,12,0.0,1.0
4,Alyssa Rice,2,3,2,3,0,0,2,2,1,3,0,0,0,1,2,6,0.6666666666666666,0.0
8,School Totals,25,73,22,56,3,17,15,19,12,31,12,2,5,12,15,68,0.2054794520547945,1.0
