,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Promise Amukamara,6,8,5,7,1,1,4,4,3,1,0,2,0,4,1,17,0.5,0.0
1,Sophie Brunner,6,15,6,15,0,0,5,6,3,8,1,1,0,1,2,17,0.3333333333333333,1.0
2,Kelsey Moos,3,7,3,7,0,0,0,0,7,3,1,0,0,3,0,6,0.0,0.3333333333333333
3,Elisha Davis,2,8,1,3,1,5,0,1,0,2,5,0,1,3,1,5,0.0,1.6666666666666667
4,Katie Hempen,2,6,2,4,0,2,2,2,0,2,4,0,0,0,1,6,0.3333333333333333,0.0
9,School Totals,21,56,19,46,2,10,13,15,16,22,16,4,2,17,9,57,0.23214285714285715,0.9411764705882353
