,Northwestern State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chelsea Rogers,1,9,0,1,1,8,0,0,0,4,0,1,0,1,1,3,0.0,0.0
1,Janelle Perez,4,15,2,4,2,11,0,0,0,2,4,0,0,1,1,10,0.0,4.0
2,Tia Youngblood,3,6,3,6,0,0,0,0,2,1,1,0,1,1,2,6,0.0,1.0
3,Presley Owens,3,6,1,3,2,3,0,0,1,3,1,0,0,0,3,8,0.0,0.0
4,Keisha Lee,1,8,0,6,1,2,0,0,1,0,0,0,0,1,0,3,0.0,0.0
12,School Totals,14,59,8,26,6,33,2,2,4,15,12,2,1,8,11,36,0.03389830508474576,1.5
