,Brigham Young ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kim Beeston,1,7,0,2,1,5,3,4,1,4,8,1,1,1,1,6,0.42857142857142855,8.0
1,Lexi Rydalch,4,13,3,10,1,3,6,6,1,5,2,1,0,5,3,15,0.46153846153846156,0.4
2,Morgan Bailey,9,15,9,13,0,2,0,0,2,4,3,0,1,1,2,18,0.0,3.0
3,Jennifer Hamson,5,5,5,5,0,0,5,7,3,11,0,0,4,2,4,15,1.0,0.0
4,Kylie Maeda,3,3,0,0,3,3,0,1,0,3,4,0,0,1,5,9,0.0,4.0
8,School Totals,28,55,18,32,10,23,14,20,8,30,17,3,6,14,19,80,0.2545454545454545,1.2142857142857142
