,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Wiese,3,15,1,3,2,12,0,0,0,0,6,0,0,4,4,8,0.0,1.5
1,Ali Gibson,4,9,3,5,1,4,2,4,3,6,5,1,0,1,4,11,0.2222222222222222,5.0
2,Ruth Hamblin,0,5,0,5,0,0,0,0,3,4,0,0,3,1,5,0,0.0,0.0
3,Deven Hunter,3,6,3,5,0,1,1,4,2,4,1,2,1,3,4,7,0.16666666666666666,0.3333333333333333
4,Alyssa Martin,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0
10,School Totals,25,65,15,35,10,30,9,18,16,23,15,5,7,14,31,69,0.13846153846153847,1.0714285714285714
