,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tania Davis,1,2,1,2,0,0,0,2,0,0,4,1,0,4,1,2,0.0,1.0
1,Makenzie Meyer,5,8,0,1,5,7,1,2,0,6,3,0,1,5,0,16,0.125,0.6
2,Megan Gustafson,14,16,14,16,0,0,2,3,3,13,1,0,1,2,2,30,0.125,0.5
3,Kathleen Doyle,2,8,2,5,0,3,2,2,0,3,4,0,0,5,2,6,0.25,0.8
4,Hannah Stewart,6,13,6,13,0,0,0,0,1,10,4,0,0,2,3,12,0.0,2.0
8,School Totals,28,51,23,40,5,11,5,9,5,35,20,1,2,24,10,66,0.09803921568627451,0.8333333333333334
